class,level,time,latitude,longitude
M,1.6,12 March 2015 at 11:50,194.522,-17.063
M,1.4,12 March 2015 at 12:14,194.531,-17.06
M,4.2,12 March 2015 at 14:08,194.545,-17.047
M,2.7,12 March 2015 at 21:51,194.397,-17.124
M,1.2,13 March 2015 at 04:01,194.421,-17.177
M,1.8,13 March 2015 at 06:07,194.357,-17.162
M,1.3,14 March 2015 at 04:40,193.813,-17.489
M,1.2,15 March 2015 at 23:22,192.716,-18.057
M,1.6,16 March 2015 at 10:58,192.294,-18.269
M,1.4,08 April 2015 at 14:43,204.661,-15.599
M,1.1,12 April 2015 at 09:50,90.471,11.999
M,2.2,21 April 2015 at 11:57,114.656,11.112
M,4.0,21 April 2015 at 15:45,114.322,10.999
M,2.1,21 April 2015 at 17:00,114.126,10.943
M,1.8,21 April 2015 at 21:45,113.265,10.687
M,1.2,21 April 2015 at 22:01,63.999,18.338
M,1.9,05 May 2015 at 09:47,131.627,12.989
M,1.2,05 May 2015 at 13:53,130.828,12.949
M,1.3,05 May 2015 at 14:25,193.669,-15.755
M,2.6,05 May 2015 at 17:24,193.697,-15.771
M,1.9,06 May 2015 at 11:49,129.421,12.669
M,1.3,13 June 2015 at 07:29,129.843,14.454
M,2.0,14 June 2015 at 00:59,130.08,14.782
M,3.0,18 June 2015 at 17:36,300.109,12.167
M,2.0,21 June 2015 at 01:42,300.375,12.296
M,2.7,21 June 2015 at 02:34,300.364,12.298
M,2.6,21 June 2015 at 02:36,300.364,12.298
M,3.8,21 June 2015 at 09:44,3.15,-20.221
M,1.1,21 June 2015 at 18:20,3.315,-20.149
M,6.5,22 June 2015 at 18:23,300.418,12.339
M,7.9,25 June 2015 at 08:16,300.519,12.324
M,1.5,03 July 2015 at 12:51,89.082,-15.718
M,1.7,06 July 2015 at 20:40,73.329,14.251
M,1.2,21 August 2015 at 02:18,191.521,-14.955
M,1.4,21 August 2015 at 09:48,191.849,-14.937
M,1.1,21 August 2015 at 20:34,192.019,-14.926
M,1.2,22 August 2015 at 06:49,191.924,-15.044
M,2.2,22 August 2015 at 13:23,191.897,-15.057
M,3.5,22 August 2015 at 21:24,191.839,-15.127
M,5.6,24 August 2015 at 07:33,191.555,-15.076
M,2.9,27 August 2015 at 05:44,192.014,-14.694
M,2.2,28 August 2015 at 13:16,191.888,-14.698
M,2.1,28 August 2015 at 19:03,191.534,-14.759
M,1.4,30 August 2015 at 03:30,185.94,-15.037
M,1.1,17 September 2015 at 09:40,231.664,-19.777
M,1.5,20 September 2015 at 05:03,104.784,9.265
M,2.1,20 September 2015 at 18:03,232.158,-20.099
M,1.9,27 September 2015 at 10:40,101.386,-19.743
